Timestamp (s),Raw-A-0 (m),Raw-A-1 (m),KF-A-0 (m),KF-A-1 (m),MiddlePoint (m),Expected (m), Method, Mode 
Time: 69.52s | Raw0: 1.00 m | Raw1: 0.99 m | Filtered0: 0.983566 m | Filtered1: 0.986126 m | Middle: 0.983470 m | Expected: 1.004223 m | Method: direct | Mode: TEST
Time: 70.82s | Raw0: 1.01 m | Raw1: 0.99 m | Filtered0: 0.984603 m | Filtered1: 0.986166 m | Middle: 0.984567 m | Expected: 1.004223 m | Method: direct | Mode: TEST
Time: 70.93s | Raw0: 1.01 m | Raw1: 0.99 m | Filtered0: 0.985683 m | Filtered1: 0.986203 m | Middle: 0.985679 m | Expected: 1.004223 m | Method: direct | Mode: TEST
Time: 71.93s | Raw0: 0.99 m | Raw1: 0.99 m | Filtered0: 0.985887 m | Filtered1: 0.986238 m | Middle: 0.985885 m | Expected: 1.004223 m | Method: direct | Mode: TEST
Time: 72.05s | Raw0: 0.99 m | Raw1: 0.98 m | Filtered0: 0.986077 m | Filtered1: 0.985939 m | Middle: 0.986077 m | Expected: 1.004223 m | Method: direct | Mode: TEST
Time: 73.34s | Raw0: 0.98 m | Raw1: 0.98 m | Filtered0: 0.985827 m | Filtered1: 0.985645 m | Middle: 0.985826 m | Expected: 1.004223 m | Method: direct | Mode: TEST
Time: 73.46s | Raw0: 0.98 m | Raw1: 0.98 m | Filtered0: 0.985591 m | Filtered1: 0.985357 m | Middle: 0.985591 m | Expected: 1.004223 m | Method: direct | Mode: TEST
Time: 74.45s | Raw0: 0.98 m | Raw1: 0.98 m | Filtered0: 0.985370 m | Filtered1: 0.985076 m | Middle: 0.985368 m | Expected: 1.004223 m | Method: direct | Mode: TEST
Time: 74.57s | Raw0: 0.98 m | Raw1: 0.99 m | Filtered0: 0.985161 m | Filtered1: 0.985151 m | Middle: 0.985161 m | Expected: 1.004223 m | Method: direct | Mode: TEST
Time: 75.87s | Raw0: 0.96 m | Raw1: 0.99 m | Filtered0: 0.984165 m | Filtered1: 0.985221 m | Middle: 0.984148 m | Expected: 1.004223 m | Method: direct | Mode: TEST
Time: 75.99s | Raw0: 0.96 m | Raw1: 0.99 m | Filtered0: 0.983139 m | Filtered1: 0.985288 m | Middle: 0.983072 m | Expected: 1.004223 m | Method: direct | Mode: TEST
Time: 76.98s | Raw0: 0.95 m | Raw1: 0.99 m | Filtered0: 0.981650 m | Filtered1: 0.985351 m | Middle: 0.981450 m | Expected: 1.004223 m | Method: direct | Mode: TEST
Time: 77.10s | Raw0: 0.95 m | Raw1: 1.02 m | Filtered0: 0.980109 m | Filtered1: 0.986370 m | Middle: 0.979538 m | Expected: 1.004223 m | Method: direct | Mode: TEST
Time: 78.39s | Raw0: 0.96 m | Raw1: 1.02 m | Filtered0: 0.979073 m | Filtered1: 0.987503 m | Middle: 0.978036 m | Expected: 1.004223 m | Method: direct | Mode: TEST
Time: 78.51s | Raw0: 0.96 m | Raw1: 1.04 m | Filtered0: 0.978075 m | Filtered1: 0.989538 m | Middle: 0.976153 m | Expected: 1.004223 m | Method: direct | Mode: TEST
Time: 79.51s | Raw0: 0.97 m | Raw1: 1.04 m | Filtered0: 0.977655 m | Filtered1: 0.991828 m | Middle: 0.974708 m | Expected: 1.004223 m | Method: direct | Mode: TEST
Time: 79.62s | Raw0: 0.97 m | Raw1: 1.03 m | Filtered0: 0.977268 m | Filtered1: 0.993741 m | Middle: 0.973276 m | Expected: 1.004223 m | Method: direct | Mode: TEST
Time: 80.92s | Raw0: 0.96 m | Raw1: 1.03 m | Filtered0: 0.976402 m | Filtered1: 0.995658 m | Middle: 0.970934 m | Expected: 1.004223 m | Method: estimate | Mode: TEST
Time: 81.04s | Raw0: 0.96 m | Raw1: 1.03 m | Filtered0: 0.975572 m | Filtered1: 0.997544 m | Middle: 0.968433 m | Expected: 1.004223 m | Method: estimate | Mode: TEST
Time: 82.04s | Raw0: 0.97 m | Raw1: 1.03 m | Filtered0: 0.975297 m | Filtered1: 0.999374 m | Middle: 0.966702 m | Expected: 1.004223 m | Method: estimate | Mode: TEST
Time: 82.16s | Raw0: 0.97 m | Raw1: 1.03 m | Filtered0: 0.975043 m | Filtered1: 1.001128 m | Middle: 0.964929 m | Expected: 1.004223 m | Method: estimate | Mode: TEST
Time: 83.46s | Raw0: 0.97 m | Raw1: 1.03 m | Filtered0: 0.974810 m | Filtered1: 1.002794 m | Middle: 0.963140 m | Expected: 1.004223 m | Method: estimate | Mode: TEST
Time: 83.58s | Raw0: 0.97 m | Raw1: 0.99 m | Filtered0: 0.974594 m | Filtered1: 1.001793 m | Middle: 0.963586 m | Expected: 1.004223 m | Method: estimate | Mode: TEST
Time: 84.67s | Raw0: 0.97 m | Raw1: 0.99 m | Filtered0: 0.974394 m | Filtered1: 1.000875 m | Middle: 0.963972 m | Expected: 1.004223 m | Method: estimate | Mode: TEST
Time: 84.79s | Raw0: 0.97 m | Raw1: 0.98 m | Filtered0: 0.974209 m | Filtered1: 0.999416 m | Middle: 0.964784 m | Expected: 1.004223 m | Method: estimate | Mode: TEST
Time: 85.99s | Raw0: 0.96 m | Raw1: 0.98 m | Filtered0: 0.973603 m | Filtered1: 0.998040 m | Middle: 0.964760 m | Expected: 1.004223 m | Method: estimate | Mode: TEST
Time: 86.11s | Raw0: 0.96 m | Raw1: 0.98 m | Filtered0: 0.973015 m | Filtered1: 0.996748 m | Middle: 0.964687 m | Expected: 1.004223 m | Method: estimate | Mode: TEST
Time: 87.20s | Raw0: 0.98 m | Raw1: 0.98 m | Filtered0: 0.973336 m | Filtered1: 0.995540 m | Middle: 0.966059 m | Expected: 1.004223 m | Method: estimate | Mode: TEST
Time: 87.33s | Raw0: 0.98 m | Raw1: 0.98 m | Filtered0: 0.973637 m | Filtered1: 0.994413 m | Middle: 0.967277 m | Expected: 1.004223 m | Method: estimate | Mode: TEST
Time: 88.52s | Raw0: 0.97 m | Raw1: 0.98 m | Filtered0: 0.973490 m | Filtered1: 0.993364 m | Middle: 0.967677 m | Expected: 1.004223 m | Method: estimate | Mode: TEST
Time: 88.64s | Raw0: 0.97 m | Raw1: 0.99 m | Filtered0: 0.973353 m | Filtered1: 0.992994 m | Middle: 0.967678 m | Expected: 1.004223 m | Method: estimate | Mode: TEST
Time: 89.74s | Raw0: 0.98 m | Raw1: 0.99 m | Filtered0: 0.973634 m | Filtered1: 0.992659 m | Middle: 0.968312 m | Expected: 1.004223 m | Method: estimate | Mode: TEST
Time: 89.86s | Raw0: 0.98 m | Raw1: 0.98 m | Filtered0: 0.973900 m | Filtered1: 0.991799 m | Middle: 0.969196 m | Expected: 1.004223 m | Method: estimate | Mode: TEST
Time: 91.06s | Raw0: 0.99 m | Raw1: 0.98 m | Filtered0: 0.974555 m | Filtered1: 0.990991 m | Middle: 0.970592 m | Expected: 1.004223 m | Method: direct | Mode: TEST
Time: 91.17s | Raw0: 0.99 m | Raw1: 0.98 m | Filtered0: 0.975204 m | Filtered1: 0.990235 m | Middle: 0.971894 m | Expected: 1.004223 m | Method: direct | Mode: TEST
Time: 92.27s | Raw0: 0.98 m | Raw1: 0.98 m | Filtered0: 0.975417 m | Filtered1: 0.989527 m | Middle: 0.972504 m | Expected: 1.004223 m | Method: direct | Mode: TEST
